Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_DME_TELEPORT_TITLE,"DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport"
STR_DME_TELEPORT_LOADING,"Loading...","Loading...","Loading...","Lade...","Загрузка...","Loading...","Loading...","Loading...","Loading...","Chargement...","加载中...","Loading...","Loading...","加载中..."STR_DME_TELEPORT_REPUTATION,"Reputation","Reputation","Reputation","Ruf","Репутация","Reputation","Reputation","Reputation","Reputation","Réputation","声望","Reputation","Reputation","声望"
STR_DME_TELEPORT_REQUESTING_DATA,"Requesting data...","Requesting data...","Requesting data...","Daten werden angefordert...","Запрос данных...","Requesting data...","Requesting data...","Requesting data...","Requesting data...","Demande des données...","正在请求数据...","Requesting data...","Requesting data...","正在请求数据..."
STR_DME_TELEPORT_MIN_REP,"Min Rep","Min Rep","Min Rep","Min. Ruf","Мин. репутация","Min Rep","Min Rep","Min Rep","Min Rep","Réputation min.","最低声望","Min Rep","Min Rep","最低声望"
STR_DME_TELEPORT_COST,"Cost","Cost","Cost","Kosten","Стоимость","Cost","Cost","Cost","Cost","Coût","花费","Cost","Cost","花费"
STR_DME_TELEPORT_NO_DEST_CONFIGURED,"No destinations configured.","No destinations configured.","No destinations configured.","Keine Ziele konfiguriert.","Точки назначения не настроены.","No destinations configured.","No destinations configured.","No destinations configured.","No destinations configured.","Aucune destination configurée.","未配置任何目的地。","No destinations configured.","No destinations configured.","未配置任何目的地。"
STR_DME_TELEPORT_NO_DEST_AVAILABLE,"No destinations available.","No destinations available.","No destinations available.","Keine Ziele verfügbar.","Нет доступных точек назначения.","No destinations available.","No destinations available.","No destinations available.","No destinations available.","Aucune destination disponible.","没有可用的目的地。","No destinations available.","No destinations available.","没有可用的目的地。"
STR_DME_TELEPORT_READY,"Ready","Ready","Ready","Bereit","Готово","Ready","Ready","Ready","Ready","Prêt","就绪","Ready","Ready","就绪"
STR_DME_TELEPORT_TRAVEL,"Travel","Travel","Travel","Teleport","Телепорт","Travel","Travel","Travel","Travel","Voyager","传送","Travel","Travel","传送"
STR_DME_TELEPORT_CLOSE,"Close","Close","Close","Schließen","Закрыть","Close","Close","Close","Close","Fermer","关闭","Close","Close","关闭"
STR_DME_TELEPORT_DESTINATION,"Destination","Destination","Destination","Ziel","Пункт назначения","Destination","Destination","Destination","Destination","Destination","目的地","Destination","Destination","目的地"
